Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2022-12-01","3,407","17,777","14.17","25","1,440","0","0","0","0"
"2022-12-02","2,867","9,848","7.79","17","1,440","0","0","0","0"
"2022-12-03","2,706","9,274","7.46","2","1,440","0","0","0","0"
"2022-12-04","2,475","4,990","3.99","2","1,440","0","0","0","0"
"2022-12-05","3,084","12,712","10.1","25","1,440","0","0","0","0"
"2022-12-06","3,210","13,142","10.56","30","1,440","0","0","0","0"
"2022-12-07","1,964","289","0.23","0","1,440","0","0","0","0"
"2022-12-08","2,455","5,765","4.59","9","1,440","0","0","0","0"
"2022-12-09","2,707","8,067","6.45","12","1,440","0","0","0","0"
"2022-12-10","2,649","7,239","5.79","7","1,440","0","0","0","0"
"2022-12-11","2,466","4,350","3.47","4","1,440","0","0","0","0"
"2022-12-12","3,339","14,853","11.92","20","1,440","0","0","0","0"
"2022-12-13","3,001","10,969","8.78","14","1,440","0","0","0","0"
"2022-12-14","2,945","10,378","8.26","14","1,440","0","0","0","0"
"2022-12-15","3,099","11,649","9.32","10","1,440","0","0","0","0"
"2022-12-16","2,661","7,843","6.3","7","1,440","0","0","0","0"
"2022-12-17","1,977","323","0.26","0","1,440","0","0","0","0"
"2022-12-18","2,152","2,389","1.97","6","777","58","0","0","281"
"2022-12-19","1,922","0","0","0","1,440","0","0","0","0"
"2022-12-20","1,921","0","0","0","1,440","0","0","0","0"
"2022-12-21","1,921","0","0","0","1,440","0","0","0","0"
"2022-12-22","1,921","0","0","0","1,045","0","0","0","0"
"2022-12-23","3,324","12,782","10.32","10","710","419","8","6","1,918"
"2022-12-24","2,024","592","0.47","0","1,124","41","0","0","151"
"2022-12-25","1,921","0","0","0","1,440","0","0","0","0"
"2022-12-26","3,111","12,371","9.87","8","787","239","8","49","1,526"
"2022-12-27","3,223","13,762","10.95","11","602","315","11","10","1,717"
"2022-12-28","1,921","0","0","0","1,440","0","0","0","0"
"2022-12-29","1,921","0","0","0","1,440","0","0","0","0"
"2022-12-30","1,921","0","0","0","1,440","0","0","0","0"
"2022-12-31","1,921","0","0","0","1,440","0","0","0","0"

