Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-11-27 3:07AM,2022-11-27 8:14AM,292,14,1,306,,,
2022-11-26 2:09AM,2022-11-26 8:17AM,359,5,0,368,,,
2022-11-24 1:44AM,2022-11-24 7:33AM,336,13,0,349,,,
2022-11-23 12:24AM,2022-11-23 6:31AM,339,28,2,367,,,
2022-11-22 12:43AM,2022-11-22 4:31AM,219,9,1,228,,,
2022-11-21 2:38AM,2022-11-21 9:31AM,391,21,1,412,,,
2022-11-08 3:35AM,2022-11-08 10:02AM,378,9,0,387,,,
2022-11-07 1:41AM,2022-11-07 8:03AM,364,18,0,382,,,
2022-11-06 1:16PM,2022-11-06 3:21PM,122,3,1,125,,,
2022-11-06 1:22AM,2022-11-06 7:38AM,358,18,0,376,,,
2022-11-05 3:24AM,2022-11-05 8:58AM,328,6,0,334,,,
2022-11-04 12:05AM,2022-11-04 6:49AM,364,40,1,404,,,
2022-10-29 1:34AM,2022-10-29 7:56AM,337,44,16,381,89.0,213.0,35.0
2022-10-28 1:31AM,2022-10-28 7:57AM,325,61,16,386,55.0,233.0,37.0
2022-10-27 1:20AM,2022-10-27 7:58AM,379,19,0,398,,,
2022-10-26 12:17AM,2022-10-26 7:26AM,386,42,17,428,88.0,224.0,74.0
2022-10-25 1:33AM,2022-10-25 8:35AM,372,49,19,421,70.0,209.0,93.0
2022-10-24 12:16AM,2022-10-24 6:30AM,327,46,16,373,86.0,230.0,11.0
2022-10-23 12:22AM,2022-10-23 5:31AM,268,41,14,309,63.0,189.0,16.0
2022-10-22 12:19AM,2022-10-22 8:02AM,391,72,20,463,110.0,218.0,63.0
2022-10-20 11:44PM,2022-10-21 4:56AM,286,26,17,312,64.0,167.0,55.0
2022-10-19 11:46PM,2022-10-20 7:38AM,411,61,19,472,107.0,254.0,50.0
2022-10-19 12:54AM,2022-10-19 6:47AM,307,46,13,353,70.0,187.0,50.0
2022-10-18 4:26AM,2022-10-18 10:02AM,333,3,0,336,,,
2022-10-17 1:50AM,2022-10-17 8:33AM,359,44,25,403,69.0,246.0,44.0
2022-10-16 3:07AM,2022-10-16 8:59AM,339,13,3,352,,,
2022-10-15 1:19AM,2022-10-15 8:24AM,408,17,2,425,,,
2022-10-14 1:31AM,2022-10-14 7:28AM,313,44,14,357,67.0,187.0,59.0
2022-10-13 12:57AM,2022-10-13 6:58AM,326,35,18,361,91.0,158.0,77.0
2022-10-12 1:53AM,2022-10-12 7:19AM,295,31,14,326,77.0,175.0,43.0
2022-10-11 12:37AM,2022-10-11 6:25AM,316,32,17,348,53.0,236.0,27.0
2022-10-10 1:10AM,2022-10-10 6:58AM,333,12,3,348,,,
2022-10-09 12:40AM,2022-10-09 6:34AM,346,7,1,354,,,
2022-10-08 4:05AM,2022-10-08 5:31AM,85,1,0,86,,,
2022-10-07 2:41AM,2022-10-07 8:03AM,291,31,10,322,78.0,179.0,34.0
2022-10-06 5:47AM,2022-10-06 10:01AM,251,3,1,254,,,
2022-10-04 11:39PM,2022-10-05 7:34AM,439,36,1,475,,,
2022-10-03 11:21PM,2022-10-04 6:44AM,384,59,24,443,90.0,219.0,75.0
2022-10-03 1:17AM,2022-10-03 6:43AM,283,43,15,326,57.0,192.0,34.0
2022-10-02 12:48AM,2022-10-02 7:37AM,372,37,14,409,93.0,212.0,67.0
2022-10-01 12:43AM,2022-10-01 7:42AM,391,27,21,418,99.0,201.0,91.0
2022-09-28 11:35PM,2022-09-29 6:59AM,394,50,2,444,,,
2022-09-28 12:56AM,2022-09-28 7:21AM,339,46,17,385,104.0,170.0,65.0
2022-09-27 1:27AM,2022-09-27 5:58AM,237,34,18,271,29.0,180.0,28.0
2022-09-26 3:13AM,2022-09-26 8:53AM,316,24,3,340,,,
2022-09-25 5:30AM,2022-09-25 10:45AM,308,7,0,315,,,
2022-09-24 3:30AM,2022-09-24 9:13AM,302,40,21,342,56.0,185.0,61.0
2022-09-23 1:45AM,2022-09-23 8:57AM,395,37,16,432,131.0,210.0,54.0
2022-09-22 4:19AM,2022-09-22 10:08AM,317,32,20,349,86.0,178.0,53.0
2022-09-21 12:37AM,2022-09-21 6:53AM,333,43,12,376,102.0,168.0,63.0
2022-09-20 2:28AM,2022-09-20 9:46AM,395,43,19,438,103.0,216.0,76.0
2022-09-19 2:50AM,2022-09-19 3:55AM,60,5,0,65,,,
2022-09-18 2:48AM,2022-09-18 3:52AM,61,3,1,64,,,
2022-09-16 3:08AM,2022-09-16 6:47AM,215,4,1,219,,,
2022-09-15 12:58AM,2022-09-15 6:46AM,305,43,22,348,57.0,167.0,81.0
2022-09-14 2:38AM,2022-09-14 8:11AM,294,39,20,333,51.0,175.0,68.0
2022-09-12 11:57PM,2022-09-13 6:44AM,341,66,15,407,83.0,192.0,66.0
2022-09-12 1:22AM,2022-09-12 6:31AM,294,15,1,309,,,
2022-09-11 12:39AM,2022-09-11 7:30AM,379,32,1,411,,,
2022-09-10 12:51AM,2022-09-10 7:42AM,351,60,6,411,,,
2022-09-08 11:49PM,2022-09-09 6:14AM,341,43,20,384,93.0,195.0,53.0
2022-09-06 9:22AM,2022-09-06 3:46PM,324,60,32,384,46.0,229.0,49.0
2022-09-05 11:30AM,2022-09-05 7:28PM,430,47,19,477,111.0,276.0,43.0
2022-09-04 7:14AM,2022-09-04 9:05AM,106,5,0,111,,,
2022-09-03 4:43AM,2022-09-03 11:01AM,341,37,19,378,73.0,218.0,50.0
2022-09-02 1:48AM,2022-09-02 9:25AM,411,46,32,457,100.0,242.0,69.0
2022-09-01 12:59AM,2022-09-01 6:59AM,296,64,19,360,41.0,209.0,46.0
2022-12-27 1:07AM,2022-12-27 9:29AM,462,37,0,502,,,
2022-12-26 1:21AM,2022-12-26 7:19AM,334,23,2,357,,,
2022-12-24 12:57AM,2022-12-24 5:32AM,249,26,8,275,,,
2022-12-22 5:25PM,2022-12-23 4:57AM,654,38,3,692,,,
2022-12-18 1:10PM,2022-12-18 2:55PM,100,5,1,105,,,
2022-12-18 1:16AM,2022-12-18 9:36AM,479,21,2,500,,,
2022-07-21 2:55AM,2022-07-21 7:56AM,266,34,15,300,67.0,170.0,29.0
2022-07-20 4:08AM,2022-07-20 9:22AM,276,38,19,314,41.0,178.0,57.0
2022-07-19 3:27AM,2022-07-19 11:16AM,455,13,0,468,,,
2022-07-18 5:19AM,2022-07-18 11:36AM,308,69,11,377,85.0,166.0,57.0
2022-07-17 2:16AM,2022-07-17 7:27AM,281,30,14,311,61.0,198.0,22.0
2022-07-16 2:27AM,2022-07-16 8:09AM,321,21,1,342,,,
2022-07-15 1:55AM,2022-07-15 7:58AM,330,25,1,363,,,
2022-07-14 1:14AM,2022-07-14 8:33AM,386,53,12,439,43.0,249.0,94.0
2022-07-13 1:27AM,2022-07-13 8:07AM,348,52,15,400,61.0,250.0,37.0
2022-07-12 12:47AM,2022-07-12 10:36AM,516,73,28,589,95.0,349.0,72.0
2022-07-11 1:28AM,2022-07-11 6:33AM,267,38,14,305,62.0,152.0,53.0
2022-07-10 7:05PM,2022-07-10 8:16PM,67,4,1,71,,,
2022-07-10 12:56AM,2022-07-10 6:08AM,280,32,0,312,,,
2022-07-09 1:32AM,2022-07-09 7:34AM,314,48,16,362,65.0,206.0,43.0
2022-07-08 1:29AM,2022-07-08 8:34AM,379,45,3,424,,,
2022-07-07 2:35AM,2022-07-07 8:18AM,309,34,14,343,69.0,205.0,35.0
2022-07-06 2:24AM,2022-07-06 10:25AM,444,37,0,481,,,
2022-07-04 11:06PM,2022-07-05 6:27AM,384,57,20,441,78.0,262.0,44.0
2022-07-03 10:09PM,2022-07-04 4:57AM,352,55,18,407,92.0,183.0,77.0
2022-07-02 5:57PM,2022-07-02 10:50PM,281,12,0,293,,,
2022-07-01 5:43PM,2022-07-01 10:42PM,264,35,20,299,52.0,155.0,57.0
2022-07-01 3:43AM,2022-07-01 5:21AM,98,0,0,98,,,
2022-05-31 1:29AM,2022-05-31 7:25AM,309,47,18,356,91.0,163.0,55.0
2022-05-30 12:13AM,2022-05-30 5:58AM,313,32,15,345,62.0,220.0,31.0
2022-05-29 4:15AM,2022-05-29 10:53AM,351,47,13,398,96.0,210.0,45.0
2022-05-28 2:27AM,2022-05-28 7:55AM,289,39,16,328,31.0,217.0,41.0
2022-05-27 1:35AM,2022-05-27 7:51AM,338,38,23,376,57.0,188.0,93.0
2022-05-26 1:51AM,2022-05-26 7:53AM,341,20,1,362,,,
2022-05-25 12:55AM,2022-05-25 6:59AM,320,44,16,364,65.0,232.0,23.0
2022-05-24 2:31AM,2022-05-24 8:57AM,341,45,18,386,71.0,208.0,62.0
2022-05-23 12:36AM,2022-05-23 7:46AM,376,54,23,430,94.0,234.0,48.0
2022-05-22 3:06AM,2022-05-22 8:58AM,348,4,1,352,,,
2022-05-21 4:49AM,2022-05-21 10:29AM,328,12,2,340,,,
2022-05-20 12:51AM,2022-05-20 7:59AM,380,48,20,428,99.0,231.0,50.0
2022-05-19 1:52AM,2022-05-19 7:53AM,333,27,1,361,,,
2022-05-18 4:15AM,2022-05-18 9:56AM,304,37,14,341,97.0,191.0,16.0
2022-05-17 1:25AM,2022-05-17 8:19AM,373,40,12,413,85.0,257.0,31.0
2022-05-16 12:56AM,2022-05-16 7:58AM,373,49,22,422,102.0,224.0,47.0
2022-05-15 4:15AM,2022-05-15 9:01AM,259,26,12,285,72.0,134.0,53.0
2022-05-14 4:09AM,2022-05-14 9:57AM,308,39,16,347,87.0,142.0,79.0
2022-05-13 2:43AM,2022-05-13 9:43AM,366,54,23,420,60.0,238.0,68.0
2022-05-12 12:35AM,2022-05-12 8:00AM,398,47,23,445,111.0,203.0,84.0
2022-05-11 3:53AM,2022-05-11 9:03AM,278,31,14,309,59.0,153.0,66.0
2022-05-10 1:24AM,2022-05-10 9:19AM,430,44,25,474,98.0,286.0,46.0
2022-05-09 2:08AM,2022-05-09 7:36AM,296,32,18,328,86.0,159.0,51.0
2022-05-08 1:36AM,2022-05-08 7:33AM,354,3,0,357,,,
2022-05-07 2:57AM,2022-05-07 9:17AM,333,47,13,380,94.0,204.0,35.0
2022-05-06 12:26AM,2022-05-06 5:22AM,275,21,11,296,78.0,158.0,39.0
2022-05-04 11:51PM,2022-05-05 7:28AM,404,53,23,457,62.0,285.0,57.0
