Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-10-29 1:34AM","2022-10-29 7:56AM","337","44","16","381","89","213","35"
"2022-10-28 1:31AM","2022-10-28 7:57AM","325","61","16","386","55","233","37"
"2022-10-27 1:20AM","2022-10-27 7:58AM","379","19","0","398","N/A","N/A","N/A"
"2022-10-26 12:17AM","2022-10-26 7:26AM","386","42","17","428","88","224","74"
"2022-10-25 1:33AM","2022-10-25 8:35AM","372","49","19","421","70","209","93"
"2022-10-24 12:16AM","2022-10-24 6:30AM","327","46","16","373","86","230","11"
"2022-10-23 12:22AM","2022-10-23 5:31AM","268","41","14","309","63","189","16"
"2022-10-22 12:19AM","2022-10-22 8:02AM","391","72","20","463","110","218","63"
"2022-10-20 11:44PM","2022-10-21 4:56AM","286","26","17","312","64","167","55"
"2022-10-19 11:46PM","2022-10-20 7:38AM","411","61","19","472","107","254","50"
"2022-10-19 12:54AM","2022-10-19 6:47AM","307","46","13","353","70","187","50"
"2022-10-18 4:26AM","2022-10-18 10:02AM","333","3","0","336","N/A","N/A","N/A"
"2022-10-17 1:50AM","2022-10-17 8:33AM","359","44","25","403","69","246","44"
"2022-10-16 3:07AM","2022-10-16 8:59AM","339","13","3","352","N/A","N/A","N/A"
"2022-10-15 1:19AM","2022-10-15 8:24AM","408","17","2","425","N/A","N/A","N/A"
"2022-10-14 1:31AM","2022-10-14 7:28AM","313","44","14","357","67","187","59"
"2022-10-13 12:57AM","2022-10-13 6:58AM","326","35","18","361","91","158","77"
"2022-10-12 1:53AM","2022-10-12 7:19AM","295","31","14","326","77","175","43"
"2022-10-11 12:37AM","2022-10-11 6:25AM","316","32","17","348","53","236","27"
"2022-10-10 1:10AM","2022-10-10 6:58AM","333","12","3","348","N/A","N/A","N/A"
"2022-10-09 12:40AM","2022-10-09 6:34AM","346","7","1","354","N/A","N/A","N/A"
"2022-10-08 4:05AM","2022-10-08 5:31AM","85","1","0","86","N/A","N/A","N/A"
"2022-10-07 2:41AM","2022-10-07 8:03AM","291","31","10","322","78","179","34"
"2022-10-06 5:47AM","2022-10-06 10:01AM","251","3","1","254","N/A","N/A","N/A"
"2022-10-04 11:39PM","2022-10-05 7:34AM","439","36","1","475","N/A","N/A","N/A"
"2022-10-03 11:21PM","2022-10-04 6:44AM","384","59","24","443","90","219","75"
"2022-10-03 1:17AM","2022-10-03 6:43AM","283","43","15","326","57","192","34"
"2022-10-02 12:48AM","2022-10-02 7:37AM","372","37","14","409","93","212","67"
"2022-10-01 12:43AM","2022-10-01 7:42AM","391","27","21","418","99","201","91"

