Date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,scrobbles
2022-01-01,8.8,,9.0,8.8,,,,,,,,,4.0,,6.3,12.8,6.5,7.0,15.0,6.0,12.0,,"3,737","10,658",8.37,1,678,251,72,39,"2,057",6:10AM,12:51PM,346.0,54.0,26.0,400.0,66.0,234.0,46.0,36.0
2022-01-02,7.9,,8.3,7.5,,,,,,,,,4.4,,2.7,9.7,7.0,7.0,42.0,2.0,9.0,,"3,429","9,028",7.08,9,716,208,48,53,"1,827",2:42AM,9:37AM,385.0,30.0,1.0,415.0,,,,36.0
2022-01-03,7.9,,7.7,8.0,6.5,,,,,,,,3.2,,4.7,10.2,5.5,7.5,40.0,4.0,10.0,,"2,662","7,934",6.23,0,"1,306",58,19,57,911,,,,,,,,,,79.0
2022-01-04,8.6,,8.5,8.5,8.4,,,,,8.3,,,5.2,,5.3,10.4,5.1,8.8,20.0,5.0,10.0,,"2,212",593,0.47,0,"1,058",69,0,0,338,5:07AM,10:21AM,264.0,49.0,10.0,313.0,63.0,149.0,52.0,160.0
2022-01-05,7.4,,7.3,8.0,7.0,,,,,,,,3.6,,5.3,11.5,6.2,7.0,20.0,5.0,11.0,,"2,860","3,886",3.05,1,863,211,0,0,"1,043",5:21AM,11:27AM,340.0,26.0,1.0,366.0,,,,58.0
2022-01-06,7.8,,7.6,8.0,8.5,,,,,,,,3.4,,6.9,13.7,6.8,7.5,55.0,6.0,13.0,,"2,994","6,128",4.81,1,805,193,28,7,"1,163",6:56AM,1:43PM,369.0,38.0,24.0,407.0,90.0,191.0,88.0,98.0
2022-01-07,8.7,8.2,9.0,8.8,8.8,,,,,,,,4.0,,7.2,13.3,6.1,7.0,10.0,7.0,13.0,,"2,737","5,170",4.06,0,888,194,3,5,952,7:13AM,1:03PM,339.0,11.0,0.0,350.0,,,,58.0
2022-01-08,8.4,8.7,8.4,8.0,8.3,,,,,,,,4.6,,7.8,13.2,5.4,,48.0,7.0,13.0,,"4,170","19,808",14.63,0,670,267,127,50,"2,655",7:48AM,1:15PM,316.0,8.0,1.0,326.0,,,,54.0
2022-01-09,8.9,7.8,9.0,9.0,8.6,,,,,,,,4.0,,7.3,11.4,4.1,,15.0,7.0,11.0,,"4,022","19,310",15.15,7,760,240,146,50,"2,615",7:18AM,11:23AM,236.0,8.0,1.0,244.0,,,,88.0
2022-01-10,8.8,,8.0,8.8,,,,,,,,,2.6,,7.3,15.3,8.0,8.8,15.0,7.0,15.0,,"3,194","6,449",5.06,1,713,199,44,13,"1,400",7:50AM,3:41PM,434.0,37.0,29.0,471.0,65.0,305.0,64.0,71.0
2022-01-11,9.1,8.7,8.9,9.2,9.5,,,,,,,,,,8.0,16.0,8.0,,1.0,8.0,16.0,,"3,604","8,323",6.45,1,592,274,71,16,"2,002",7:15AM,3:22PM,424.0,63.0,32.0,487.0,96.0,286.0,42.0,81.0
2022-01-12,7.7,7.0,7.6,7.2,8.6,,,,,9.5,,,3.0,,1.5,4.3,2.8,8.3,30.0,1.0,4.0,,"1,904",0,0.0,0,"1,440",0,0,0,0,,,,,,,,,,47.0
2022-01-13,7.9,,7.5,7.0,8.8,,,,,10.0,,,3.2,,,,,8.8,,,,,"2,699","5,938",4.63,0,"1,277",130,18,15,917,,,,,,,,,,113.0
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,"4,021","2,611",1.96,5,702,186,221,16,"2,489",1:46PM,7:01PM,294.0,21.0,3.0,315.0,,,,64.0
2022-01-15,,,,,,,,,,,,,,,,,,,,,,,"4,496","4,857",3.68,9,907,273,102,87,"2,897",7:41AM,8:52AM,70.0,1.0,0.0,71.0,,,,7.0
2022-01-16,8.4,7.0,7.8,8.6,8.0,,,,,,,,2.0,,0.5,6.5,6.0,,30.0,0.0,6.0,,"5,034","14,388",11.24,1,262,434,184,59,"3,944",10:53PM,7:14AM,467.0,34.0,21.0,501.0,147.0,250.0,70.0,32.0
2022-01-17,7.8,6.9,7.3,7.4,8.3,,,,,8.0,,,,,0.5,5.8,5.3,7.4,30.0,0.0,5.0,,"4,109","13,491",10.59,39,680,225,89,81,"2,516",12:26AM,6:31AM,345.0,19.0,1.0,365.0,,,,90.0
2022-01-18,8.8,8.7,8.0,9.0,7.2,,,,,,,,,,0.2,7.5,7.3,,10.0,0.0,7.0,,"3,400","10,336",8.07,5,788,326,8,8,"1,726",12:32AM,5:42AM,283.0,27.0,16.0,310.0,48.0,179.0,56.0,52.0
2022-01-19,8.7,9.0,8.6,8.5,8.7,,,,,8.0,,,,,0.5,7.0,6.5,8.5,31.0,0.0,7.0,90.0,"3,430","9,121",7.16,8,669,279,43,15,"1,839",12:23AM,7:37AM,376.0,58.0,20.0,434.0,93.0,183.0,100.0,63.0
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,"3,736","10,915",8.56,7,674,310,53,23,"2,148",12:38AM,6:59AM,352.0,28.0,15.0,380.0,74.0,210.0,68.0,31.0
2022-01-21,,,,,,,,,,,,,,,1.0,8.2,7.2,,1.0,1.0,8.0,,"5,610","22,016",17.23,12,521,339,203,149,"4,487",1:54AM,5:43AM,220.0,8.0,1.0,228.0,,,,61.0
2022-01-22,8.0,8.0,8.7,8.1,8.5,,,,,7.9,,,,,1.1,7.0,5.9,7.7,7.0,1.0,7.0,,"3,121","6,463",4.97,3,742,208,24,16,"1,364",12:40AM,8:10AM,399.0,51.0,20.0,450.0,98.0,250.0,51.0,38.0
2022-01-23,,,,,,,,,,,,,,,0.0,5.8,5.8,,1.0,0.0,5.0,,"3,545","13,500",10.49,9,723,304,19,47,"1,931",1:11AM,6:58AM,312.0,35.0,11.0,347.0,75.0,182.0,55.0,73.0
2022-01-24,9.4,9.5,9.1,9.4,9.2,,,,,7.7,,,,,,,,8.6,,,,90.0,"4,002","16,071",12.59,16,704,270,57,73,"2,426",12:07AM,5:44AM,302.0,34.0,13.0,336.0,57.0,208.0,37.0,36.0
2022-01-25,8.4,9.0,8.2,8.5,8.0,,,,,7.8,,,,,3.0,8.0,5.0,7.0,1.0,3.0,8.0,,"3,687","13,234",10.38,13,707,281,42,29,"2,027",1:55AM,8:16AM,349.0,32.0,16.0,381.0,100.0,175.0,74.0,75.0
2022-01-26,8.6,9.0,9.3,9.0,7.9,,,,,8.7,,,,,1.7,7.5,5.8,8.0,40.0,1.0,7.0,,"3,870","14,409",11.31,20,761,260,71,52,"2,299",3:05AM,8:01AM,268.0,28.0,11.0,296.0,65.0,142.0,61.0,106.0
